#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2011 03 11 09 36 00 2 4682.790
2011 03 11 09 35 00 2 4682.790
2011 03 11 09 34 00 2 4682.792
2011 03 11 09 33 00 2 4682.795
2011 03 11 09 32 00 2 4682.794
2011 03 11 09 31 00 2 4682.797
2011 03 11 09 30 00 2 4682.798
2011 03 11 09 30 00 1 9999.000
2011 03 11 09 29 00 2 4682.799
2011 03 11 09 28 00 2 4682.800
2011 03 11 09 27 00 2 4682.800
2011 03 11 09 26 00 2 4682.802
2011 03 11 09 25 00 2 4682.806
2011 03 11 09 24 00 2 4682.803
2011 03 11 09 23 00 2 4682.805
2011 03 11 09 22 00 2 4682.807
2011 03 11 09 21 00 2 4682.808
2011 03 11 09 20 00 2 4682.806
2011 03 11 09 19 00 2 4682.811
2011 03 11 09 18 00 2 4682.813
2011 03 11 09 17 00 2 4682.812
2011 03 11 09 16 00 2 4682.814
2011 03 11 09 15 00 2 4682.815
2011 03 11 09 15 00 1 9999.000
2011 03 11 09 14 00 2 4682.816
2011 03 11 09 13 00 2 4682.816
2011 03 11 09 12 00 2 4682.819
2011 03 11 09 11 00 2 4682.820
2011 03 11 09 10 00 2 4682.820
2011 03 11 09 09 00 2 4682.822
2011 03 11 09 08 00 2 4682.826
2011 03 11 09 07 00 2 4682.825
2011 03 11 09 06 00 2 4682.827
2011 03 11 09 05 00 2 4682.829
2011 03 11 09 04 00 2 4682.829
2011 03 11 09 03 00 2 4682.830
2011 03 11 09 02 00 2 4682.833
2011 03 11 09 01 00 2 4682.833
2011 03 11 09 00 00 2 4682.833
2011 03 11 09 00 00 1 9999.000
2011 03 11 08 59 00 2 4682.835
2011 03 11 08 58 00 2 4682.838
2011 03 11 08 57 00 2 4682.839
2011 03 11 08 56 00 2 4682.840
2011 03 11 08 55 00 2 4682.841
2011 03 11 08 54 00 2 4682.841
2011 03 11 08 53 00 2 4682.843
2011 03 11 08 52 00 2 4682.846
2011 03 11 08 51 00 2 4682.845
2011 03 11 08 50 00 2 4682.847
2011 03 11 08 49 00 2 4682.849
2011 03 11 08 48 00 2 4682.850
2011 03 11 08 47 00 2 4682.850
2011 03 11 08 46 00 2 4682.851
2011 03 11 08 45 00 2 4682.854
2011 03 11 08 45 00 1 9999.000
2011 03 11 08 44 00 2 4682.854
2011 03 11 08 43 00 2 4682.857
2011 03 11 08 42 00 2 4682.857
2011 03 11 08 41 00 2 4682.859
2011 03 11 08 40 00 2 4682.857
2011 03 11 08 39 00 2 4682.859
2011 03 11 08 38 00 2 4682.861
2011 03 11 08 37 00 2 4682.864
2011 03 11 08 36 00 2 4682.866
2011 03 11 08 35 00 2 4682.866
2011 03 11 08 34 00 2 4682.866
2011 03 11 08 33 00 2 4682.868
