#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2011 03 11 17 31 00 2 5465.709
2011 03 11 17 30 00 2 5465.712
2011 03 11 17 30 00 1 9999.000
2011 03 11 17 29 00 2 5465.733
2011 03 11 17 28 00 2 5465.710
2011 03 11 17 27 00 2 5465.689
2011 03 11 17 26 00 2 5465.705
2011 03 11 17 25 00 2 5465.711
2011 03 11 17 24 00 2 5465.730
2011 03 11 17 23 00 2 5465.723
2011 03 11 17 22 00 2 5465.702
2011 03 11 17 21 00 2 5465.700
2011 03 11 17 20 00 2 5465.718
2011 03 11 17 19 00 2 5465.728
2011 03 11 17 18 00 2 5465.720
2011 03 11 17 17 00 2 5465.729
2011 03 11 17 16 00 2 5465.715
2011 03 11 17 15 00 2 5465.722
2011 03 11 17 15 00 1 9999.000
2011 03 11 17 14 00 2 5465.732
2011 03 11 17 13 00 2 5465.725
2011 03 11 17 12 00 2 5465.706
2011 03 11 17 11 00 2 5465.693
2011 03 11 17 10 00 2 5465.693
2011 03 11 17 09 00 2 5465.702
2011 03 11 17 08 00 2 5465.695
2011 03 11 17 07 00 2 5465.685
2011 03 11 17 06 00 2 5465.657
2011 03 11 17 05 00 2 5465.668
2011 03 11 17 04 00 2 5465.681
2011 03 11 17 03 00 2 5465.692
2011 03 11 17 02 00 2 5465.694
2011 03 11 17 01 00 2 5465.691
2011 03 11 17 00 00 2 5465.689
2011 03 11 17 00 00 1 9999.000
2011 03 11 16 59 00 2 5465.676
2011 03 11 16 58 00 2 5465.687
2011 03 11 16 57 00 2 5465.688
2011 03 11 16 56 00 2 5465.697
2011 03 11 16 55 00 2 5465.698
2011 03 11 16 54 00 2 5465.685
2011 03 11 16 53 00 2 5465.665
2011 03 11 16 52 00 2 5465.692
2011 03 11 16 51 00 2 5465.712
2011 03 11 16 50 00 2 5465.734
2011 03 11 16 49 00 2 5465.754
2011 03 11 16 48 00 2 5465.766
2011 03 11 16 47 00 2 5465.764
2011 03 11 16 46 00 2 5465.779
2011 03 11 16 45 00 2 5465.777
2011 03 11 16 45 00 1 9999.000
2011 03 11 16 44 00 2 5465.775
2011 03 11 16 43 00 2 5465.763
2011 03 11 16 42 00 2 5465.743
2011 03 11 16 41 00 2 5465.746
2011 03 11 16 40 00 2 5465.751
2011 03 11 16 39 00 2 5465.739
2011 03 11 16 38 00 2 5465.701
2011 03 11 16 37 00 2 5465.695
2011 03 11 16 36 00 2 5465.706
2011 03 11 16 35 00 2 5465.691
2011 03 11 16 34 00 2 5465.683
2011 03 11 16 33 00 2 5465.694
2011 03 11 16 32 00 2 5465.710
2011 03 11 16 31 00 2 5465.714
2011 03 11 16 30 00 2 5465.733
2011 03 11 16 30 00 1 9999.000
2011 03 11 16 29 00 2 5465.735
2011 03 11 16 28 00 2 5465.741
2011 03 11 16 27 00 2 5465.757
2011 03 11 16 26 00 2 5465.787
2011 03 11 16 25 00 2 5465.768
