#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2011 03 12 03 59 00 2 4709.104
2011 03 12 03 58 00 2 4709.103
2011 03 12 03 57 00 2 4709.101
2011 03 12 03 56 00 2 4709.105
2011 03 12 03 55 00 2 4709.105
2011 03 12 03 54 00 2 4709.120
2011 03 12 03 53 00 2 4709.127
2011 03 12 03 52 00 2 4709.132
2011 03 12 03 51 00 2 4709.147
2011 03 12 03 50 00 2 4709.159
2011 03 12 03 49 00 2 4709.154
2011 03 12 03 48 00 2 4709.151
2011 03 12 03 47 00 2 4709.156
2011 03 12 03 46 00 2 4709.154
2011 03 12 03 45 00 2 4709.141
2011 03 12 03 45 00 1 9999.000
2011 03 12 03 44 00 2 4709.133
2011 03 12 03 43 00 2 4709.129
2011 03 12 03 42 00 2 4709.112
2011 03 12 03 41 00 2 4709.102
2011 03 12 03 40 00 2 4709.100
2011 03 12 03 39 00 2 4709.098
2011 03 12 03 38 00 2 4709.097
2011 03 12 03 37 00 2 4709.090
2011 03 12 03 36 00 2 4709.077
2011 03 12 03 35 00 2 4709.071
2011 03 12 03 34 00 2 4709.066
2011 03 12 03 33 00 2 4709.074
2011 03 12 03 32 00 2 4709.080
2011 03 12 03 31 00 2 4709.081
2011 03 12 03 30 00 2 4709.086
2011 03 12 03 30 00 1 9999.000
2011 03 12 03 29 00 2 4709.082
2011 03 12 03 28 00 2 4709.086
2011 03 12 03 27 00 2 4709.100
2011 03 12 03 26 00 2 4709.109
2011 03 12 03 25 00 2 4709.107
2011 03 12 03 24 00 2 4709.098
2011 03 12 03 23 00 2 4709.098
2011 03 12 03 22 00 2 4709.092
2011 03 12 03 21 00 2 4709.088
2011 03 12 03 20 00 2 4709.095
2011 03 12 03 19 00 2 4709.096
2011 03 12 03 18 00 2 4709.100
2011 03 12 03 17 00 2 4709.092
2011 03 12 03 16 00 2 4709.083
2011 03 12 03 15 00 2 4709.079
2011 03 12 03 15 00 1 9999.000
2011 03 12 03 14 00 2 4709.086
2011 03 12 03 13 00 2 4709.075
2011 03 12 03 12 00 2 4709.068
2011 03 12 03 11 00 2 4709.068
2011 03 12 03 10 00 2 4709.055
2011 03 12 03 09 00 2 4709.062
2011 03 12 03 08 00 2 4709.062
2011 03 12 03 07 00 2 4709.061
2011 03 12 03 06 00 2 4709.063
2011 03 12 03 05 00 2 4709.064
2011 03 12 03 04 00 2 4709.061
2011 03 12 03 03 00 2 4709.069
2011 03 12 03 02 00 2 4709.076
2011 03 12 03 01 00 2 4709.066
2011 03 12 03 00 00 2 4709.074
2011 03 12 03 00 00 1 9999.000
2011 03 12 02 59 00 2 4709.075
2011 03 12 02 58 00 2 4709.068
2011 03 12 02 57 00 2 4709.065
2011 03 12 02 56 00 2 4709.064
2011 03 12 02 55 00 2 4709.056
2011 03 12 02 54 00 2 4709.055
2011 03 12 02 53 00 2 4709.056
2011 03 12 02 52 00 2 4709.058
2011 03 12 02 51 00 2 4709.063
2011 03 12 02 50 00 2 4709.062
2011 03 12 02 49 00 2 4709.060
2011 03 12 02 48 00 2 4709.066
2011 03 12 02 47 00 2 4709.077
2011 03 12 02 46 00 2 4709.069
2011 03 12 02 45 00 2 4709.063
