#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2011 03 11 09 59 00 2 4260.772
2011 03 11 09 58 00 2 4260.771
2011 03 11 09 57 00 2 4260.771
2011 03 11 09 56 00 2 4260.767
2011 03 11 09 55 00 2 4260.768
2011 03 11 09 54 00 2 4260.765
2011 03 11 09 53 00 2 4260.766
2011 03 11 09 52 00 2 4260.763
2011 03 11 09 51 00 2 4260.762
2011 03 11 09 50 00 2 4260.759
2011 03 11 09 49 00 2 4260.763
2011 03 11 09 48 00 2 4260.757
2011 03 11 09 47 00 2 4260.756
2011 03 11 09 46 00 2 4260.755
2011 03 11 09 45 00 2 4260.751
2011 03 11 09 45 00 1 9999.000
2011 03 11 09 44 00 2 4260.753
2011 03 11 09 43 00 2 4260.750
2011 03 11 09 42 00 2 4260.744
2011 03 11 09 41 00 2 4260.745
2011 03 11 09 40 00 2 4260.744
2011 03 11 09 39 00 2 4260.742
2011 03 11 09 38 00 2 4260.740
2011 03 11 09 37 00 2 4260.737
2011 03 11 09 36 00 2 4260.737
2011 03 11 09 35 00 2 4260.734
2011 03 11 09 34 00 2 4260.734
2011 03 11 09 33 00 2 4260.731
2011 03 11 09 32 00 2 4260.728
2011 03 11 09 31 00 2 4260.728
2011 03 11 09 30 00 2 4260.723
2011 03 11 09 30 00 1 9999.000
2011 03 11 09 29 00 2 4260.724
2011 03 11 09 28 00 2 4260.721
2011 03 11 09 27 00 2 4260.720
2011 03 11 09 26 00 2 4260.714
2011 03 11 09 25 00 2 4260.715
2011 03 11 09 24 00 2 4260.711
2011 03 11 09 23 00 2 4260.711
2011 03 11 09 22 00 2 4260.708
2011 03 11 09 21 00 2 4260.704
2011 03 11 09 20 00 2 4260.702
2011 03 11 09 19 00 2 4260.700
2011 03 11 09 18 00 2 4260.696
2011 03 11 09 17 00 2 4260.695
2011 03 11 09 16 00 2 4260.694
2011 03 11 09 15 00 2 4260.691
2011 03 11 09 15 00 1 9999.000
2011 03 11 09 14 00 2 4260.686
2011 03 11 09 13 00 2 4260.687
