#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2011 03 11 09 59 00 2 5861.796
2011 03 11 09 58 00 2 5861.805
2011 03 11 09 57 00 2 5861.814
2011 03 11 09 56 00 2 5861.814
2011 03 11 09 55 00 2 5861.806
2011 03 11 09 54 00 2 5861.792
2011 03 11 09 53 00 2 5861.786
2011 03 11 09 52 00 2 5861.786
2011 03 11 09 51 00 2 5861.787
2011 03 11 09 50 00 2 5861.777
2011 03 11 09 49 00 2 5861.749
2011 03 11 09 48 00 2 5861.719
2011 03 11 09 47 00 2 5861.694
2011 03 11 09 46 00 2 5861.665
2011 03 11 09 45 00 2 5861.626
2011 03 11 09 45 00 1 9999.000
2011 03 11 09 44 00 2 5861.576
2011 03 11 09 43 00 2 5861.543
2011 03 11 09 42 00 2 5861.542
2011 03 11 09 41 00 2 5861.581
2011 03 11 09 40 00 2 5861.646
2011 03 11 09 39 00 2 5861.722
2011 03 11 09 38 00 2 5861.795
2011 03 11 09 37 00 2 5861.864
2011 03 11 09 36 00 2 5861.928
2011 03 11 09 35 00 2 5861.992
2011 03 11 09 34 00 2 5862.050
2011 03 11 09 33 00 2 5862.098
2011 03 11 09 32 00 2 5862.128
2011 03 11 09 31 00 2 5862.131
2011 03 11 09 30 00 2 5862.124
2011 03 11 09 30 00 1 9999.000
2011 03 11 09 29 00 2 5862.098
2011 03 11 09 28 00 2 5862.063
2011 03 11 09 27 00 2 5862.026
2011 03 11 09 26 00 2 5861.987
2011 03 11 09 25 00 2 5861.952
2011 03 11 09 24 00 2 5861.921
2011 03 11 09 23 00 2 5861.893
2011 03 11 09 22 00 2 5861.869
2011 03 11 09 21 00 2 5861.847
2011 03 11 09 20 00 2 5861.836
2011 03 11 09 19 00 2 5861.828
2011 03 11 09 18 00 2 5861.821
2011 03 11 09 17 00 2 5861.817
2011 03 11 09 16 00 2 5861.817
2011 03 11 09 15 00 2 5861.815
2011 03 11 09 15 00 1 9999.000
2011 03 11 09 14 00 2 5861.816
2011 03 11 09 13 00 2 5861.819
