Model Comment
Strike: 202.00 Dip: 12.00 HypocenterDepth: 25.95
RuptureSpeed: 0.00
nx: 40 xMin: -0.00 xMax: 600.00
ny: 14 yMin: -0.00 yMax: 210.00
MomentScaleFactor: 1.0e19 N-m
minMoment: 0.000 maxMoment: 31.910
TotalMoment: 3635.947 Mw: 8.98
minDelayTime: 0.000 maxDelayTime: 0.000
nTimeStepsPerSubFault: 1 BasisTFtnDuration: 0.00
Trupture(s) X Y Lon Lat Depth Mo(DS) Mo(SS) Mo(total) Rake Duration(s)
131.5 240.00 105.00   142.495   35.934    4.1    1.243    0.109    1.248    85  40.0
137.0 255.00 105.00   142.436   35.808    4.1    2.013    0.176    2.021    85  40.0
142.5 270.00 105.00   142.376   35.682    4.1    2.483    0.217    2.493    85  40.0
148.2 285.00 105.00   142.317   35.556    4.1    2.348    0.205    2.357    85  40.0
153.8 300.00 105.00   142.258   35.430    4.1    2.332    0.204    2.341    85  40.0
159.5 315.00 105.00   142.200   35.304    4.1    1.480    0.130    1.486    85  40.0
165.2 330.00 105.00   142.141   35.177    4.1    0.566    0.050    0.568    85  36.0
170.9 345.00 105.00   142.083   35.051    4.1    0.000    0.000    0.000     0  36.0
176.7 360.00 105.00   142.025   34.925    4.1    0.000    0.000    0.000     0  36.0
182.4 375.00 105.00   141.967   34.799    4.1    0.000    0.000    0.000     0  36.0
188.2 390.00 105.00   141.909   34.672    4.1    0.000    0.000    0.000     0  28.0
194.0 405.00 105.00   141.852   34.546    4.1    0.000    0.000    0.000     0  32.0
107.2 -180.00  90.00   144.083   39.498    7.2    3.262    0.285    3.274    85  40.0
101.8 -165.00  90.00   144.018   39.373    7.2    1.306    0.114    1.311    85  40.0
 96.6 -150.00  90.00   143.952   39.248    7.2    0.228    0.020    0.229    85  40.0
 91.6 -135.00  90.00   143.887   39.123    7.2    0.024    0.002    0.024    85  40.0
 86.7 -120.00  90.00   143.823   38.998    7.2    0.665    0.058    0.667    85  40.0
 82.0 -105.00  90.00   143.758   38.873    7.2    2.518    0.220    2.528    85  40.0
 77.6 -90.00  90.00   143.694   38.747    7.2    5.099    0.446    5.119    85  40.0
 73.5 -75.00  90.00   143.630   38.622    7.2    8.830    0.772    8.863    85  40.0
 69.9 -60.00  90.00   143.566   38.497    7.2   13.126    1.148   13.176    85  40.0
 66.9 -45.00  90.00   143.503   38.371    7.2   17.097    1.496   17.163    85  40.0
 63.2 -30.00  90.00   143.439   38.246    7.2   20.162    1.764   20.239    85  40.0
 60.8 -15.00  90.00   143.376   38.120    7.2   21.992    1.924   22.076    85  20.0
 60.0   0.00  90.00   143.313   37.995    7.2   21.863    1.913   21.946    85  24.0
 60.8  15.00  90.00   143.251   37.869    7.2   20.471    1.791   20.549    85  20.0
 63.2  30.00  90.00   143.188   37.744    7.2   18.103    1.584   18.172    85  20.0
 66.9  45.00  90.00   143.126   37.618    7.2   15.244    1.334   15.303    85  20.0
 69.9  60.00  90.00   143.064   37.493    7.2   13.090    1.145   13.140    85  20.0
 73.5  75.00  90.00   143.002   37.367    7.2   10.366    0.907   10.406    85  20.0
 77.6  90.00  90.00   142.941   37.241    7.2    8.793    0.769    8.826    85  40.0
 82.0 105.00  90.00   142.879   37.116    7.2    6.725    0.588    6.751    85  40.0
 86.7 120.00  90.00   142.818   36.990    7.2    5.464    0.478    5.485    85  40.0
 91.6 135.00  90.00   142.757   36.864    7.2    3.925    0.343    3.940    85  40.0
 96.6 150.00  90.00   142.696   36.738    7.2    2.025    0.177    2.033    85  40.0
101.8 165.00  90.00   142.635   36.613    7.2    2.339    0.205    2.348    85  40.0
107.2 180.00  90.00   142.575   36.487    7.2    1.481    0.130    1.486    85  40.0
112.6 195.00  90.00   142.515   36.361    7.2    0.347    0.030    0.348    85  40.0
118.1 210.00  90.00   142.455   36.235    7.2    0.566    0.050    0.569    85  40.0
123.6 225.00  90.00   142.395   36.109    7.2    1.066    0.093    1.070    85  40.0
