Model Comment
Strike: 202.00 Dip: 12.00 HypocenterDepth: 25.95
RuptureSpeed: 0.00
nx: 40 xMin: -0.00 xMax: 600.00
ny: 14 yMin: -0.00 yMax: 210.00
MomentScaleFactor: 1.0e19 N-m
minMoment: 0.000 maxMoment: 31.910
TotalMoment: 3635.947 Mw: 8.98
minDelayTime: 0.000 maxDelayTime: 0.000
nTimeStepsPerSubFault: 1 BasisTFtnDuration: 0.00
Trupture(s) X Y Lon Lat Depth Mo(DS) Mo(SS) Mo(total) Rake Duration(s)
 22.4  30.00  15.00   142.389   37.986   22.8   27.659    2.420   27.765    85  20.0
 31.6  45.00  15.00   142.326   37.861   22.8   28.471    2.491   28.580    85  20.0
 41.2  60.00  15.00   142.264   37.735   22.8   29.202    2.555   29.314    85  24.0
 51.0  75.00  15.00   142.202   37.609   22.8   29.433    2.575   29.546    85  40.0
 60.8  90.00  15.00   142.140   37.484   22.8   27.709    2.424   27.815    85  28.0
 69.1 105.00  15.00   142.079   37.358   22.8   25.410    2.223   25.507    85  24.0
 75.0 120.00  15.00   142.017   37.232   22.8   22.194    1.942   22.279    85  40.0
 81.0 135.00  15.00   141.956   37.106   22.8   18.370    1.607   18.440    85  40.0
 87.0 150.00  15.00   141.895   36.981   22.8   15.897    1.391   15.958    85  40.0
 92.9 165.00  15.00   141.834   36.855   22.8   12.076    1.057   12.122    85  40.0
 98.9 180.00  15.00   141.774   36.729   22.8    8.968    0.785    9.002    85  40.0
104.9 195.00  15.00   141.713   36.603   22.8    7.337    0.642    7.365    85  40.0
110.9 210.00  15.00   141.653   36.477   22.8    5.148    0.450    5.168    85  32.0
116.9 225.00  15.00   141.593   36.351   22.8    3.647    0.319    3.661    85  28.0
122.9 240.00  15.00   141.533   36.225   22.8    2.136    0.187    2.144    85  24.0
128.8 255.00  15.00   141.474   36.099   22.8    1.025    0.090    1.029    85  20.0
134.8 270.00  15.00   141.414   35.973   22.8    0.000    0.000    0.000     0  28.0
140.8 285.00  15.00   141.355   35.847   22.8    0.000    0.000    0.000     0  40.0
146.8 300.00  15.00   141.296   35.721   22.8    0.000    0.000    0.000     0  40.0
152.8 315.00  15.00   141.237   35.595   22.8    0.000    0.000    0.000     0  40.0
158.8 330.00  15.00   141.178   35.469   22.8    0.011    0.001    0.011    85  40.0
164.8 345.00  15.00   141.120   35.342   22.8    0.084    0.007    0.084    85  40.0
170.8 360.00  15.00   141.062   35.216   22.8    0.626    0.055    0.628    85  40.0
176.8 375.00  15.00   141.003   35.090   22.8    1.333    0.117    1.338    85  40.0
182.8 390.00  15.00   140.946   34.964   22.8    1.612    0.141    1.618    85  40.0
188.8 405.00  15.00   140.888   34.837   22.8    2.315    0.203    2.324    85  40.0
 98.7 -180.00   0.00   143.126   39.789   25.9    0.029    0.003    0.029    85  40.0
 92.7 -165.00   0.00   143.061   39.663   25.9    0.068    0.006    0.068    85  40.0
 86.7 -150.00   0.00   142.995   39.538   25.9    0.199    0.017    0.200    85  40.0
 80.7 -135.00   0.00   142.930   39.413   25.9    0.530    0.046    0.532    85  40.0
 74.7 -120.00   0.00   142.865   39.288   25.9    3.555    0.311    3.569    85  40.0
 68.7 -105.00   0.00   142.800   39.163   25.9    5.911    0.517    5.933    85  32.0
 60.0 -90.00   0.00   142.736   39.037   25.9    7.169    0.627    7.196    85  40.0
 50.0 -75.00   0.00   142.672   38.912   25.9    7.717    0.675    7.746    85  40.0
 40.0 -60.00   0.00   142.608   38.787   25.9    8.543    0.747    8.576    85  40.0
 30.0 -45.00   0.00   142.544   38.661   25.9   10.816    0.946   10.857    85  40.0
 20.0 -30.00   0.00   142.480   38.536   25.9   13.057    1.142   13.107    85  20.0
 10.0 -15.00   0.00   142.417   38.410   25.9   16.373    1.432   16.436    85  20.0
  0.0   0.00   0.00   142.354   38.285   25.9   18.969    1.660   19.041    85  20.0
 10.0  15.00   0.00   142.291   38.160   25.9   21.294    1.863   21.375    85  20.0
 20.0  30.00   0.00   142.228   38.034   25.9   22.721    1.988   22.808    85  20.0
 30.0  45.00   0.00   142.166   37.908   25.9   23.855    2.087   23.946    85  20.0
 40.0  60.00   0.00   142.103   37.783   25.9   23.874    2.089   23.965    85  40.0
 50.0  75.00   0.00   142.041   37.657   25.9   23.735    2.077   23.825    85  40.0
 60.0  90.00   0.00   141.979   37.531   25.9   22.719    1.988   22.806    85  40.0
 68.7 105.00   0.00   141.918   37.406   25.9   19.883    1.740   19.959    85  40.0
 74.7 120.00   0.00   141.856   37.280   25.9   17.186    1.504   17.251    85  40.0
 80.7 135.00   0.00   141.795   37.154   25.9   14.336    1.254   14.391    85  40.0
 86.7 150.00   0.00   141.734   37.028   25.9   11.556    1.011   11.600    85  40.0
 92.7 165.00   0.00   141.673   36.903   25.9    8.211    0.718    8.242    85  40.0
 98.7 180.00   0.00   141.613   36.777   25.9    5.722    0.501    5.744    85  40.0
104.7 195.00   0.00   141.552   36.651   25.9    4.154    0.363    4.170    85  40.0
110.7 210.00   0.00   141.492   36.525   25.9    2.806    0.245    2.817    85  36.0
116.7 225.00   0.00   141.432   36.399   25.9    1.705    0.149    1.712    85  20.0
122.7 240.00   0.00   141.372   36.273   25.9    0.679    0.059    0.682    85  20.0
128.7 255.00   0.00   141.313   36.147   25.9    0.577    0.050    0.579    85  20.0
134.7 270.00   0.00   141.253   36.021   25.9    0.011    0.001    0.011    85  36.0
140.7 285.00   0.00   141.194   35.895   25.9    0.000    0.000    0.000     0  40.0
146.7 300.00   0.00   141.135   35.769   25.9    0.000    0.000    0.000     0  40.0
152.7 315.00   0.00   141.076   35.642   25.9    0.000    0.000    0.000     0  40.0
158.7 330.00   0.00   141.017   35.516   25.9    0.000    0.000    0.000    85  40.0
164.7 345.00   0.00   140.959   35.390   25.9    0.308    0.027    0.309    85  40.0
170.7 360.00   0.00   140.900   35.264   25.9    0.838    0.073    0.841    85  40.0
176.7 375.00   0.00   140.842   35.138   25.9    1.761    0.154    1.767    85  40.0
182.7 390.00   0.00   140.784   35.011   25.9    2.182    0.191    2.190    85  40.0
188.7 405.00   0.00   140.726   34.885   25.9    2.685    0.235    2.695    85  40.0
 98.9 -180.00 -15.00   142.966   39.836   29.1    0.053    0.005    0.053    85  40.0
 92.9 -165.00 -15.00   142.900   39.711   29.1    0.056    0.005    0.056    85  40.0
 87.0 -150.00 -15.00   142.835   39.586   29.1    0.183    0.016    0.184    85  40.0
 81.0 -135.00 -15.00   142.770   39.461   29.1    0.445    0.039    0.447    85  40.0
 75.0 -120.00 -15.00   142.705   39.335   29.1    2.736    0.239    2.747    85  40.0
 69.1 -105.00 -15.00   142.640   39.210   29.1    4.271    0.374    4.287    85  40.0
 60.8 -90.00 -15.00   142.575   39.085   29.1    5.304    0.464    5.325    85  40.0
 51.0 -75.00 -15.00   142.511   38.960   29.1    5.349    0.468    5.370    85  40.0
 41.2 -60.00 -15.00   142.447   38.834   29.1    5.415    0.474    5.435    85  40.0
 31.6 -45.00 -15.00   142.383   38.709   29.1    7.196    0.630    7.224    85  40.0
 22.4 -30.00 -15.00   142.320   38.584   29.1    9.934    0.869    9.972    85  24.0
 14.1 -15.00 -15.00   142.256   38.458   29.1   11.845    1.036   11.890    85  20.0
 10.0   0.00 -15.00   142.193   38.333   29.1   14.773    1.292   14.829    85  20.0
 14.1  15.00 -15.00   142.130   38.207   29.1   16.412    1.436   16.475    85  20.0
 22.4  30.00 -15.00   142.067   38.082   29.1   16.988    1.486   17.052    85  20.0
 31.6  45.00 -15.00   142.005   37.956   29.1   17.580    1.538   17.647    85  40.0
 41.2  60.00 -15.00   141.943   37.830   29.1   17.742    1.552   17.810    85  40.0
 51.0  75.00 -15.00   141.880   37.705   29.1   16.769    1.467   16.833    85  40.0
 60.8  90.00 -15.00   141.819   37.579   29.1   16.091    1.408   16.153    85  40.0
 69.1 105.00 -15.00   141.757   37.453   29.1   13.752    1.203   13.804    85  40.0
 75.0 120.00 -15.00   141.695   37.328   29.1   11.094    0.971   11.137    85  40.0
 81.0 135.00 -15.00   141.634   37.202   29.1    8.379    0.733    8.411    85  40.0
 87.0 150.00 -15.00   141.573   37.076   29.1    5.855    0.512    5.877    85  40.0
 92.9 165.00 -15.00   141.512   36.950   29.1    3.829    0.335    3.843    85  40.0
 98.9 180.00 -15.00   141.452   36.824   29.1    1.466    0.128    1.471    85  40.0
104.9 195.00 -15.00   141.391   36.698   29.1    1.681    0.147    1.688    85  36.0
110.9 210.00 -15.00   141.331   36.572   29.1    1.372    0.120    1.377    85  32.0
116.9 225.00 -15.00   141.271   36.446   29.1    1.038    0.091    1.042    85  20.0
122.9 240.00 -15.00   141.211   36.320   29.1    0.736    0.064    0.738    85  20.0
128.8 255.00 -15.00   141.151   36.194   29.1    0.727    0.064    0.730    85  20.0
134.8 270.00 -15.00   141.092   36.068   29.1    0.328    0.029    0.330    85  36.0
140.8 285.00 -15.00   141.032   35.942   29.1    0.000    0.000    0.000     0  40.0
146.8 300.00 -15.00   140.973   35.816   29.1    0.000    0.000    0.000     0  40.0
152.8 315.00 -15.00   140.914   35.690   29.1    0.000    0.000    0.000     0  40.0
158.8 330.00 -15.00   140.856   35.564   29.1    0.000    0.000    0.000     0  40.0
164.8 345.00 -15.00   140.797   35.438   29.1    0.322    0.028    0.323    85  40.0
170.8 360.00 -15.00   140.739   35.311   29.1    0.762    0.067    0.765    85  40.0
176.8 375.00 -15.00   140.681   35.185   29.1    1.379    0.121    1.384    85  40.0
182.8 390.00 -15.00   140.623   35.059   29.1    1.864    0.163    1.871    85  40.0
188.8 405.00 -15.00   140.565   34.933   29.1    2.245    0.196    2.254    85  40.0
 99.7 -180.00 -30.00   142.806   39.883   32.2    0.042    0.004    0.042    85  40.0
 93.7 -165.00 -30.00   142.740   39.758   32.2    0.072    0.006    0.072    85  40.0
 87.9 -150.00 -30.00   142.674   39.633   32.2    0.155    0.014    0.155    85  40.0
 82.0 -135.00 -30.00   142.609   39.508   32.2    0.655    0.057    0.657    85  40.0
 76.1 -120.00 -30.00   142.544   39.383   32.2    1.855    0.162    1.862    85  40.0
 70.3 -105.00 -30.00   142.479   39.258   32.2    3.486    0.305    3.500    85  40.0
 63.2 -90.00 -30.00   142.415   39.132   32.2    4.724    0.413    4.742    85  40.0
 53.9 -75.00 -30.00   142.350   39.007   32.2    4.498    0.394    4.515    85  40.0
 44.7 -60.00 -30.00   142.286   38.882   32.2    4.387    0.384    4.404    85  40.0
 36.1 -45.00 -30.00   142.222   38.756   32.2    5.116    0.448    5.135    85  40.0
 28.3 -30.00 -30.00   142.159   38.631   32.2    7.129    0.624    7.156    85  40.0
 22.4 -15.00 -30.00   142.095   38.505   32.2    8.859    0.775    8.892    85  20.0
 20.0   0.00 -30.00   142.032   38.380   32.2   10.375    0.908   10.415    85  20.0
 22.4  15.00 -30.00   141.969   38.254   32.2   11.247    0.984   11.290    85  20.0
 28.3  30.00 -30.00   141.906   38.129   32.2   12.281    1.074   12.328    85  40.0
 36.1  45.00 -30.00   141.844   38.003   32.2   11.194    0.979   11.237    85  40.0
 44.7  60.00 -30.00   141.781   37.878   32.2   10.566    0.924   10.606    85  40.0
 53.9  75.00 -30.00   141.719   37.752   32.2    9.113    0.797    9.148    85  40.0
 63.2  90.00 -30.00   141.657   37.626   32.2    7.137    0.624    7.164    85  40.0
 70.3 105.00 -30.00   141.596   37.501   32.2    5.884    0.515    5.906    85  40.0
 76.1 120.00 -30.00   141.534   37.375   32.2    3.397    0.297    3.410    85  40.0
 82.0 135.00 -30.00   141.473   37.249   32.2    2.068    0.181    2.075    85  40.0
 87.9 150.00 -30.00   141.412   37.123   32.2    0.715    0.063    0.718    85  40.0
 93.7 165.00 -30.00   141.351   36.997   32.2    0.014    0.001    0.014    85  40.0
 99.7 180.00 -30.00   141.290   36.872   32.2    0.013    0.001    0.013    85  36.0
105.6 195.00 -30.00   141.230   36.746   32.2    0.039    0.003    0.039    85  32.0
111.5 210.00 -30.00   141.169   36.620   32.2    0.110    0.010    0.110    85  20.0
117.5 225.00 -30.00   141.109   36.494   32.2    0.462    0.040    0.464    85  20.0
123.4 240.00 -30.00   141.049   36.368   32.2    0.963    0.084    0.967    85  20.0
129.4 255.00 -30.00   140.990   36.242   32.2    0.685    0.060    0.688    85  20.0
135.3 270.00 -30.00   140.930   36.116   32.2    0.199    0.017    0.199    85  36.0
141.3 285.00 -30.00   140.871   35.990   32.2    0.006    0.001    0.006    85  36.0
147.3 300.00 -30.00   140.812   35.864   32.2    0.000    0.000    0.000     0  40.0
153.2 315.00 -30.00   140.753   35.737   32.2    0.000    0.000    0.000     0  40.0
159.2 330.00 -30.00   140.694   35.611   32.2    0.000    0.000    0.000     0  40.0
165.2 345.00 -30.00   140.635   35.485   32.2    0.052    0.005    0.052    85  40.0
171.2 360.00 -30.00   140.577   35.359   32.2    0.368    0.032    0.369    85  40.0
177.1 375.00 -30.00   140.519   35.233   32.2    0.820    0.072    0.823    85  40.0
183.1 390.00 -30.00   140.461   35.106   32.2    0.982    0.086    0.986    85  40.0
189.1 405.00 -30.00   140.403   34.980   32.2    1.091    0.095    1.095    85  40.0
100.9 -180.00 -45.00   142.645   39.931   35.3    0.077    0.007    0.078    85  40.0
 95.1 -165.00 -45.00   142.579   39.806   35.3    0.080    0.007    0.081    85  40.0
 89.3 -150.00 -45.00   142.514   39.680   35.3    0.219    0.019    0.220    85  40.0
 83.6 -135.00 -45.00   142.448   39.555   35.3    0.818    0.072    0.821    85  40.0
 77.9 -120.00 -45.00   142.383   39.430   35.3    1.319    0.115    1.324    85  40.0
 72.4 -105.00 -45.00   142.318   39.305   35.3    3.110    0.272    3.122    85  40.0
 66.9 -90.00 -45.00   142.254   39.179   35.3    4.007    0.351    4.023    85  40.0
 58.3 -75.00 -45.00   142.189   39.054   35.3    4.572    0.400    4.589    85  40.0
 50.0 -60.00 -45.00   142.125   38.929   35.3    4.455    0.390    4.472    85  40.0
 42.4 -45.00 -45.00   142.061   38.803   35.3    5.308    0.464    5.328    85  40.0
 36.1 -30.00 -45.00   141.998   38.678   35.3    6.287    0.550    6.311    85  40.0
 31.6 -15.00 -45.00   141.934   38.553   35.3    7.322    0.641    7.350    85  40.0
 30.0   0.00 -45.00   141.871   38.427   35.3    7.849    0.687    7.879    85  20.0
 31.6  15.00 -45.00   141.808   38.302   35.3    8.001    0.700    8.031    85  40.0
 36.1  30.00 -45.00   141.745   38.176   35.3    7.079    0.619    7.106    85  40.0
 42.4  45.00 -45.00   141.682   38.050   35.3    6.503    0.569    6.527    85  40.0
 50.0  60.00 -45.00   141.620   37.925   35.3    5.222    0.457    5.242    85  40.0
 58.3  75.00 -45.00   141.558   37.799   35.3    3.496    0.306    3.510    85  40.0
 66.9  90.00 -45.00   141.496   37.673   35.3    2.007    0.176    2.015    85  40.0
 72.4 105.00 -45.00   141.434   37.548   35.3    0.335    0.029    0.336    85  40.0
 77.9 120.00 -45.00   141.373   37.422   35.3    0.036    0.003    0.037    85  40.0
 83.6 135.00 -45.00   141.311   37.296   35.3    0.019    0.002    0.019    85  40.0
 89.3 150.00 -45.00   141.250   37.170   35.3    0.018    0.002    0.018    85  40.0
 95.1 165.00 -45.00   141.189   37.045   35.3    0.046    0.004    0.046    85  40.0
100.9 180.00 -45.00   141.129   36.919   35.3    0.042    0.004    0.043    85  36.0
106.7 195.00 -45.00   141.068   36.793   35.3    0.039    0.003    0.039    85  36.0
112.6 210.00 -45.00   141.008   36.667   35.3    0.030    0.003    0.030    85  24.0
118.4 225.00 -45.00   140.948   36.541   35.3    0.294    0.026    0.295    85  20.0
124.3 240.00 -45.00   140.888   36.415   35.3    0.569    0.050    0.572    85  20.0
130.2 255.00 -45.00   140.828   36.289   35.3    0.518    0.045    0.520    85  20.0
136.2 270.00 -45.00   140.768   36.163   35.3    0.165    0.014    0.165    85  32.0
142.1 285.00 -45.00   140.709   36.037   35.3    0.000    0.000    0.000    85  36.0
148.0 300.00 -45.00   140.650   35.911   35.3    0.000    0.000    0.000     0  40.0
153.9 315.00 -45.00   140.591   35.784   35.3    0.000    0.000    0.000     0  40.0
159.9 330.00 -45.00   140.532   35.658   35.3    0.000    0.000    0.000     0  40.0
165.8 345.00 -45.00   140.473   35.532   35.3    0.000    0.000    0.000     0  40.0
171.8 360.00 -45.00   140.415   35.406   35.3    0.098    0.009    0.099    85  40.0
177.7 375.00 -45.00   140.357   35.280   35.3    0.135    0.012    0.136    85  40.0
183.7 390.00 -45.00   140.299   35.153   35.3    0.331    0.029    0.333    85  40.0
189.7 405.00 -45.00   140.241   35.027   35.3    0.283    0.025    0.284    85  40.0
102.6 -180.00 -60.00   142.484   39.978   38.4    0.077    0.007    0.077    85  40.0
 96.9 -165.00 -60.00   142.418   39.852   38.4    0.099    0.009    0.099    85  40.0
 91.3 -150.00 -60.00   142.353   39.727   38.4    0.227    0.020    0.228    85  40.0
 85.8 -135.00 -60.00   142.287   39.602   38.4    0.691    0.060    0.693    85  40.0
 80.3 -120.00 -60.00   142.222   39.477   38.4    1.192    0.104    1.197    85  40.0
 75.0 -105.00 -60.00   142.157   39.352   38.4    2.861    0.250    2.872    85  40.0
 69.9 -90.00 -60.00   142.093   39.226   38.4    3.747    0.328    3.761    85  40.0
 64.0 -75.00 -60.00   142.028   39.101   38.4    5.213    0.456    5.233    85  40.0
 56.6 -60.00 -60.00   141.964   38.976   38.4    5.543    0.485    5.564    85  40.0
 50.0 -45.00 -60.00   141.900   38.850   38.4    6.059    0.530    6.083    85  40.0
 44.7 -30.00 -60.00   141.836   38.725   38.4    6.752    0.591    6.778    85  40.0
 41.2 -15.00 -60.00   141.773   38.599   38.4    7.120    0.623    7.148    85  40.0
 40.0   0.00 -60.00   141.710   38.474   38.4    6.762    0.592    6.788    85  40.0
 41.2  15.00 -60.00   141.646   38.348   38.4    6.186    0.541    6.209    85  40.0
 44.7  30.00 -60.00   141.584   38.223   38.4    5.486    0.480    5.507    85  40.0
 50.0  45.00 -60.00   141.521   38.097   38.4    3.595    0.315    3.609    85  40.0
 56.6  60.00 -60.00   141.459   37.972   38.4    1.765    0.154    1.772    85  40.0
 64.0  75.00 -60.00   141.396   37.846   38.4    0.109    0.010    0.109    85  40.0
 69.9  90.00 -60.00   141.334   37.720   38.4    0.093    0.008    0.093    85  40.0
 75.0 105.00 -60.00   141.273   37.595   38.4    0.093    0.008    0.094    85  40.0
 80.3 120.00 -60.00   141.211   37.469   38.4    0.071    0.006    0.072    85  40.0
 85.8 135.00 -60.00   141.150   37.343   38.4    0.050    0.004    0.050    85  40.0
 91.3 150.00 -60.00   141.088   37.217   38.4    0.047    0.004    0.048    85  40.0
 96.9 165.00 -60.00   141.028   37.091   38.4    0.045    0.004    0.045    85  40.0
102.6 180.00 -60.00   140.967   36.966   38.4    0.036    0.003    0.036    85  36.0
108.3 195.00 -60.00   140.906   36.840   38.4    0.033    0.003    0.033    85  32.0
114.0 210.00 -60.00   140.846   36.714   38.4    0.030    0.003    0.030    85  24.0
119.8 225.00 -60.00   140.786   36.588   38.4    0.026    0.002    0.026    85  20.0
125.6 240.00 -60.00   140.726   36.462   38.4    0.284    0.025    0.286    85  20.0
131.5 255.00 -60.00   140.666   36.336   38.4    0.192    0.017    0.193    85  20.0
137.3 270.00 -60.00   140.606   36.210   38.4    0.290    0.025    0.291    85  32.0
143.2 285.00 -60.00   140.547   36.084   38.4    0.000    0.000    0.000     0  32.0
149.0 300.00 -60.00   140.488   35.957   38.4    0.000    0.000    0.000     0  36.0
154.9 315.00 -60.00   140.429   35.831   38.4    0.000    0.000    0.000     0  40.0
160.8 330.00 -60.00   140.370   35.705   38.4    0.000    0.000    0.000     0  40.0
166.7 345.00 -60.00   140.311   35.579   38.4    0.000    0.000    0.000     0  40.0
172.7 360.00 -60.00   140.253   35.453   38.4    0.034    0.003    0.034    85  40.0
178.6 375.00 -60.00   140.195   35.326   38.4    0.072    0.006    0.073    85  40.0
184.5 390.00 -60.00   140.137   35.200   38.4    0.124    0.011    0.125    85  40.0
190.4 405.00 -60.00   140.079   35.074   38.4    0.101    0.009    0.101    85  40.0
104.7 -180.00 -75.00   142.323   40.024   41.5    0.088    0.008    0.089    85  40.0
 99.2 -165.00 -75.00   142.257   39.899   41.5    0.099    0.009    0.099    85  40.0
 93.7 -150.00 -75.00   142.191   39.774   41.5    0.278    0.024    0.279    85  40.0
 88.4 -135.00 -75.00   142.126   39.649   41.5    0.713    0.062    0.716    85  40.0
 83.3 -120.00 -75.00   142.061   39.524   41.5    1.839    0.161    1.846    85  40.0
 78.3 -105.00 -75.00   141.996   39.398   41.5    3.016    0.264    3.027    85  40.0
 73.5 -90.00 -75.00   141.931   39.273   41.5    4.239    0.371    4.256    85  40.0
 69.1 -75.00 -75.00   141.867   39.148   41.5    5.229    0.457    5.249    85  40.0
 64.0 -60.00 -75.00   141.803   39.022   41.5    6.428    0.562    6.453    85  40.0
 58.3 -45.00 -75.00   141.739   38.897   41.5    6.535    0.572    6.560    85  40.0
 53.9 -30.00 -75.00   141.675   38.772   41.5    7.078    0.619    7.105    85  40.0
 51.0 -15.00 -75.00   141.611   38.646   41.5    7.304    0.639    7.332    85  40.0
 50.0   0.00 -75.00   141.548   38.521   41.5    6.945    0.608    6.971    85  40.0
 51.0  15.00 -75.00   141.485   38.395   41.5    5.643    0.494    5.665    85  40.0
 53.9  30.00 -75.00   141.422   38.270   41.5    4.329    0.379    4.346    85  40.0
 58.3  45.00 -75.00   141.359   38.144   41.5    1.817    0.159    1.824    85  40.0
 64.0  60.00 -75.00   141.297   38.018   41.5    0.352    0.031    0.353    85  40.0
 69.1  75.00 -75.00   141.235   37.893   41.5    0.086    0.008    0.086    85  40.0
 73.5  90.00 -75.00   141.173   37.767   41.5    0.085    0.007    0.086    85  40.0
 78.3 105.00 -75.00   141.111   37.641   41.5    0.083    0.007    0.083    85  40.0
 83.3 120.00 -75.00   141.049   37.516   41.5    0.078    0.007    0.078    85  40.0
 88.4 135.00 -75.00   140.988   37.390   41.5    0.054    0.005    0.054    85  40.0
 93.7 150.00 -75.00   140.926   37.264   41.5    0.041    0.004    0.041    85  40.0
 99.2 165.00 -75.00   140.865   37.138   41.5    0.038    0.003    0.038    85  40.0
104.7 180.00 -75.00   140.805   37.012   41.5    0.035    0.003    0.035    85  40.0
110.2 195.00 -75.00   140.744   36.886   41.5    0.032    0.003    0.032    85  32.0
115.9 210.00 -75.00   140.684   36.760   41.5    0.029    0.003    0.029    85  24.0
121.5 225.00 -75.00   140.624   36.634   41.5    0.026    0.002    0.026    85  20.0
127.2 240.00 -75.00   140.564   36.508   41.5    0.023    0.002    0.023    85  20.0
133.0 255.00 -75.00   140.504   36.382   41.5    0.021    0.002    0.021    85  20.0
138.8 270.00 -75.00   140.444   36.256   41.5    0.000    0.000    0.000     0  32.0
144.5 285.00 -75.00   140.385   36.130   41.5    0.000    0.000    0.000     0  32.0
150.4 300.00 -75.00   140.325   36.004   41.5    0.000    0.000    0.000     0  40.0
156.2 315.00 -75.00   140.266   35.878   41.5    0.000    0.000    0.000     0  40.0
162.0 330.00 -75.00   140.208   35.752   41.5    0.000    0.000    0.000     0  40.0
167.9 345.00 -75.00   140.149   35.626   41.5    0.000    0.000    0.000     0  40.0
173.8 360.00 -75.00   140.090   35.499   41.5    0.000    0.000    0.000     0  40.0
179.6 375.00 -75.00   140.032   35.373   41.5    0.034    0.003    0.034    85  40.0
185.5 390.00 -75.00   139.974   35.247   41.5    0.041    0.004    0.041    85  40.0
191.4 405.00 -75.00   139.916   35.121   41.5    0.070    0.006    0.071    85  40.0
